COUNTY_ID,COUNTY,TOWN_ID,TOWN,V_ID,VILLAGE,A0A14_CNT,A0A14_M_CNT,A0A14_F_CNT,A15A64_CNT,A15A64_M_CNT,A15A64_F_CNT,A65UP_CNT,A65UP_M_CNT,A65UP_F_CNT,INFO_TIME
縣市代碼,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,村里代碼,村里名稱,0-14歲人口數,0-14歲男性人口數,0-14歲女性人口數,15-64歲人口數,15-64歲男性人口數,15-64歲女性人口數,65歲以上人口數,65歲以上男性人口數,65歲以上女性人口數,資料時間
"10015","花蓮縣","10015010","花蓮市","10015010-001","民立里",212,113,99,1007,461,546,585,332,253,"114Y12M"
"10015","花蓮縣","10015010","花蓮市","10015010-002","民運里",149,81,68,1482,731,751,527,222,305,"114Y12M"
"10015","花蓮縣","10015010","花蓮市","10015010-003","民族里",111,54,57,277,129,148,102,46,56,"114Y12M"
"10015","花蓮縣","10015010","花蓮市","10015010-004","主信里",140,67,73,490,221,269,152,61,91,"114Y12M"
"10015","花蓮縣","10015010","花蓮市","10015010-005","主睦里",87,42,45,413,186,227,130,57,73,"114Y12M"
"10015","花蓮縣","10015010","花蓮市","10015010-006","主和里",482,230,252,2033,1015,1018,744,303,441,"114Y12M"
"10015","花蓮縣","10015010","花蓮市","10015010-007","國威里",380,191,189,1416,759,657,486,239,247,"114Y12M"
"10015","花蓮縣","10015010","花蓮市","10015010-008","國風里",777,416,361,2262,1025,1237,816,347,469,"114Y12M"
"10015","花蓮縣","10015010","花蓮市","10015010-009","民德里",305,144,161,1118,526,592,365,150,215,"114Y12M"
"10015","花蓮縣","10015010","花蓮市","10015010-010","民意里",128,62,66,1388,707,681,608,322,286,"114Y12M"
"10015","花蓮縣","10015010","花蓮市","10015010-012","主義里",57,31,26,301,155,146,131,70,61,"114Y12M"
"10015","花蓮縣","10015010","花蓮市","10015010-013","主工里",118,61,57,372,176,196,118,52,66,"114Y12M"
"10015","花蓮縣","10015010","花蓮市","10015010-014","主農里",695,366,329,2655,1266,1389,784,333,451,"114Y12M"
"10015","花蓮縣","10015010","花蓮市","10015010-015","國治里",195,99,96,596,283,313,196,88,108,"114Y12M"
"10015","花蓮縣","10015010","花蓮市","10015010-016","國富里",456,243,213,3528,1696,1832,1413,623,790,"114Y12M"
"10015","花蓮縣","10015010","花蓮市","10015010-017","民政里",424,213,211,2875,1295,1580,874,361,513,"114Y12M"
"10015","花蓮縣","10015010","花蓮市","10015010-018","民勤里",846,453,393,2383,1111,1272,563,226,337,"114Y12M"
"10015","花蓮縣","10015010","花蓮市","10015010-019","民生里",203,105,98,673,295,378,266,118,148,"114Y12M"
"10015","花蓮縣","10015010","花蓮市","10015010-020","主商里",136,76,60,348,164,184,136,65,71,"114Y12M"
"10015","花蓮縣","10015010","花蓮市","10015010-021","主學里",360,193,167,1362,660,702,433,194,239,"114Y12M"
"10015","花蓮縣","10015010","花蓮市","10015010-022","國光里",176,102,74,859,444,415,294,127,167,"114Y12M"
"10015","花蓮縣","10015010","花蓮市","10015010-023","國聯里",234,131,103,2186,1037,1149,680,304,376,"114Y12M"
"10015","花蓮縣","10015010","花蓮市","10015010-024","國強里",211,116,95,1622,786,836,367,167,200,"114Y12M"
"10015","花蓮縣","10015010","花蓮市","10015010-025","民心里",64,33,31,766,410,356,226,103,123,"114Y12M"
"10015","花蓮縣","10015010","花蓮市","10015010-026","民樂里",60,31,29,508,237,271,140,54,86,"114Y12M"
"10015","花蓮縣","10015010","花蓮市","10015010-027","民主里",140,80,60,463,223,240,128,54,74,"114Y12M"
"10015","花蓮縣","10015010","花蓮市","10015010-028","主勤里",142,76,66,487,223,264,224,99,125,"114Y12M"
"10015","花蓮縣","10015010","花蓮市","10015010-029","主力里",426,227,199,1837,895,942,658,278,380,"114Y12M"
"10015","花蓮縣","10015010","花蓮市","10015010-030","國安里",78,44,34,364,175,189,115,50,65,"114Y12M"
"10015","花蓮縣","10015010","花蓮市","10015010-031","國魂里",354,191,163,1349,613,736,489,209,280,"114Y12M"
"10015","花蓮縣","10015010","花蓮市","10015010-032","國慶里",120,59,61,862,457,405,228,101,127,"114Y12M"
