NID,STID,MIN_10,Hour_1,Hour_3,Hour_6,Hour_12,Hour_24,RST_DATE,Elev,Stationnam,latitude,longtitude,altitude,geometry
46111493,01T220,0.0,1.0,1.0,2.0,2.0,2.0,2025-09-21 23:50:00,207.0,卓麓(4),23.295555,121.266945,207.0,POINT (121.266945 23.295555)
46290034,01T220,0.0,27.0,68.0,91.0,120.0,131.0,2025-09-22 23:50:00,207.0,卓麓(4),23.295555,121.266945,207.0,POINT (121.266945 23.295555)
46111494,01T230,0.0,2.0,2.0,4.0,9.0,9.0,2025-09-21 23:50:00,180.0,立山,23.430079,121.31263,180.0,POINT (121.31263 23.430079)
46290035,01T230,0.0,6.0,25.0,40.0,90.0,115.0,2025-09-22 23:50:00,180.0,立山,23.430079,121.31263,180.0,POINT (121.31263 23.430079)
46111495,01T240,0.0,1.0,1.0,4.0,9.0,9.0,2025-09-21 23:50:00,940.0,苗圃,23.417015,121.27937,940.0,POINT (121.27937 23.417015)
46290036,01T240,0.0,12.0,27.0,50.0,101.0,126.0,2025-09-22 23:50:00,940.0,苗圃,23.417015,121.27937,940.0,POINT (121.27937 23.417015)
46466864,01T220,0.0,15.0,41.0,84.0,196.0,360.0,2025-09-23 23:50:00,207.0,卓麓(4),23.295555,121.266945,207.0,POINT (121.266945 23.295555)
46111496,01T500,0.0,2.0,2.0,2.0,2.0,2.0,2025-09-21 23:50:00,20.0,北埔,24.037079,121.60446,20.0,POINT (121.60446 24.037079)
46290037,01T500,0.0,2.0,16.0,40.0,59.0,84.0,2025-09-22 23:50:00,20.0,北埔,24.037079,121.60446,20.0,POINT (121.60446 24.037079)
46111497,01T560,0.0,2.0,2.0,3.0,3.0,3.0,2025-09-21 23:50:00,200.0,西林,23.819214,121.43207,200.0,POINT (121.43207 23.819214)
46290038,01T560,0.0,0.0,13.0,43.0,64.0,85.0,2025-09-22 23:50:00,200.0,西林,23.819214,121.43207,200.0,POINT (121.43207 23.819214)
46466865,01T230,0.0,16.0,28.0,144.0,236.0,385.0,2025-09-23 23:50:00,180.0,立山,23.430079,121.31263,180.0,POINT (121.31263 23.430079)
46111499,01T720,0.0,1.0,1.0,1.0,1.0,1.0,2025-09-21 23:50:00,210.0,明里,23.202324,121.25167,210.0,POINT (121.25167 23.202324)
46290040,01T720,0.0,21.0,43.0,60.0,107.0,118.0,2025-09-22 23:50:00,210.0,明里,23.202324,121.25167,210.0,POINT (121.25167 23.202324)
46111500,01T730,0.0,1.0,1.0,1.0,1.0,1.0,2025-09-21 23:50:00,30.0,豐濱,23.602442,121.52049,30.0,POINT (121.52049 23.602442)
46290041,01T730,0.0,0.0,9.0,30.0,37.0,54.0,2025-09-22 23:50:00,30.0,豐濱,23.602442,121.52049,30.0,POINT (121.52049 23.602442)
46111501,01T9J0,0.0,2.0,2.0,2.0,3.0,3.0,2025-09-21 23:50:00,730.0,六十石山,23.217558,121.32297,730.0,POINT (121.32297 23.217558)
46290042,01T9J0,0.0,10.0,30.0,46.0,83.0,93.0,2025-09-22 23:50:00,730.0,六十石山,23.217558,121.32297,730.0,POINT (121.32297 23.217558)
46466867,01T500,0.0,5.0,28.0,45.0,108.0,233.0,2025-09-23 23:50:00,20.0,北埔,24.037079,121.60446,20.0,POINT (121.60446 24.037079)
46111502,01T9L0,0.0,1.0,1.0,1.0,1.0,1.0,2025-09-21 23:50:00,110.0,東富,23.684835,121.482086,110.0,POINT (121.482086 23.684835)
46290043,01T9L0,0.0,0.0,16.0,44.0,63.0,96.0,2025-09-22 23:50:00,110.0,東富,23.684835,121.482086,110.0,POINT (121.482086 23.684835)
46466870,01T720,0.0,26.0,66.0,135.0,232.0,497.0,2025-09-23 23:50:00,210.0,明里,23.202324,121.25167,210.0,POINT (121.25167 23.202324)
46466871,01T730,0.0,9.0,16.0,58.0,96.0,160.0,2025-09-23 23:50:00,30.0,豐濱,23.602442,121.52049,30.0,POINT (121.52049 23.602442)
46466866,01T240,0.0,28.0,49.0,168.0,261.0,423.0,2025-09-23 23:50:00,940.0,苗圃,23.417015,121.27937,940.0,POINT (121.27937 23.417015)
46466872,01T9J0,0.0,8.0,37.0,82.0,144.0,301.0,2025-09-23 23:50:00,730.0,六十石山,23.217558,121.32297,730.0,POINT (121.32297 23.217558)
46466873,01T9L0,0.0,5.0,33.0,79.0,156.0,238.0,2025-09-23 23:50:00,110.0,東富,23.684835,121.482086,110.0,POINT (121.482086 23.684835)
46466868,01T560,0.0,0.0,50.0,94.0,213.0,446.0,2025-09-23 23:50:00,200.0,西林,23.819214,121.43207,200.0,POINT (121.43207 23.819214)
46111661,81T760,-998.0,-998.0,-998.0,-998.0,0.0,0.0,2025-09-21 23:50:00,430.0,富南部落,23.133057,121.246666,430.0,POINT (121.246666 23.133057)
46290195,81T760,0.5,8.5,19.5,38.5,87.0,95.5,2025-09-22 23:50:00,430.0,富南部落,23.133057,121.246666,430.0,POINT (121.246666 23.133057)
46467025,81T760,0.5,12.5,56.0,116.5,191.5,355.5,2025-09-23 23:50:00,430.0,富南部落,23.133057,121.246666,430.0,POINT (121.246666 23.133057)
46111662,81T770,-998.0,-998.0,-998.0,-998.0,0.0,0.0,2025-09-21 23:50:00,230.0,大豐,23.607222,121.376114,230.0,POINT (121.376114 23.607222)
46290196,81T770,0.0,0.0,20.5,50.5,66.5,82.5,2025-09-22 23:50:00,230.0,大豐,23.607222,121.376114,230.0,POINT (121.376114 23.607222)
46467026,81T770,3.0,5.5,46.5,94.0,116.0,257.0,2025-09-23 23:50:00,230.0,大豐,23.607222,121.376114,230.0,POINT (121.376114 23.607222)
46111663,81T850,0.0,0.5,0.5,0.5,0.5,0.5,2025-09-21 23:50:00,116.0,溪口國小,23.819721,121.473335,116.0,POINT (121.473335 23.819721)
46290197,81T850,0.0,0.0,6.0,21.5,31.5,50.0,2025-09-22 23:50:00,116.0,溪口國小,23.819721,121.473335,116.0,POINT (121.473335 23.819721)
46467027,81T850,7.0,9.5,43.0,58.0,126.5,255.0,2025-09-23 23:50:00,116.0,溪口國小,23.819721,121.473335,116.0,POINT (121.473335 23.819721)
46111664,81T860,0.0,2.0,2.0,2.0,2.0,2.0,2025-09-21 23:50:00,98.0,山興分校,23.727777,121.4975,98.0,POINT (121.4975 23.727777)
46290198,81T860,0.0,0.0,5.0,25.5,40.0,86.5,2025-09-22 23:50:00,98.0,山興分校,23.727777,121.4975,98.0,POINT (121.4975 23.727777)
46111580,72T250,0.5,0.5,0.5,0.5,0.5,0.5,2025-09-21 23:50:00,36.0,花蓮農改,23.975222,121.56389,36.0,POINT (121.56389 23.975222)
46290114,72T250,0.5,2.0,10.0,33.5,74.0,123.5,2025-09-22 23:50:00,36.0,花蓮農改,23.975222,121.56389,36.0,POINT (121.56389 23.975222)
46467028,81T860,1.0,5.5,44.0,73.0,149.5,253.5,2025-09-23 23:50:00,98.0,山興分校,23.727777,121.4975,98.0,POINT (121.4975 23.727777)
46111665,81T870,0.0,2.5,2.5,2.5,2.5,2.5,2025-09-21 23:50:00,26.0,東興部落,23.635204,121.53089,26.0,POINT (121.53089 23.635204)
46290199,81T870,0.0,0.0,2.5,23.0,45.5,56.5,2025-09-22 23:50:00,26.0,東興部落,23.635204,121.53089,26.0,POINT (121.53089 23.635204)
46466944,72T250,5.0,13.5,77.0,92.5,178.0,295.0,2025-09-23 23:50:00,36.0,花蓮農改,23.975222,121.56389,36.0,POINT (121.56389 23.975222)
46467029,81T870,10.5,12.5,44.5,68.5,109.5,162.5,2025-09-23 23:50:00,26.0,東興部落,23.635204,121.53089,26.0,POINT (121.53089 23.635204)
46111666,81T880,1.0,4.0,5.0,5.0,7.5,7.5,2025-09-21 23:50:00,13.0,石梯坪,23.483055,121.51139,13.0,POINT (121.51139 23.483055)
46290200,81T880,0.0,0.0,22.0,35.5,49.5,61.0,2025-09-22 23:50:00,13.0,石梯坪,23.483055,121.51139,13.0,POINT (121.51139 23.483055)
46467030,81T880,0.5,7.5,25.0,45.5,47.5,100.0,2025-09-23 23:50:00,13.0,石梯坪,23.483055,121.51139,13.0,POINT (121.51139 23.483055)
46111667,81T890,0.0,2.5,2.5,4.5,5.0,5.0,2025-09-21 23:50:00,103.0,瑞北國小,23.525557,121.376114,103.0,POINT (121.376114 23.525557)
46290201,81T890,0.5,1.5,51.0,78.0,122.0,138.5,2025-09-22 23:50:00,103.0,瑞北國小,23.525557,121.376114,103.0,POINT (121.376114 23.525557)
46467031,81T890,4.5,13.5,59.0,148.5,207.5,343.0,2025-09-23 23:50:00,103.0,瑞北國小,23.525557,121.376114,103.0,POINT (121.376114 23.525557)
46111668,81T900,1.0,2.0,2.0,2.0,2.0,2.0,2025-09-21 23:50:00,179.0,卓溪國小,23.345833,121.30333,179.0,POINT (121.30333 23.345833)
46290202,81T900,0.0,16.0,33.0,83.5,102.0,128.0,2025-09-22 23:50:00,179.0,卓溪國小,23.345833,121.30333,179.0,POINT (121.30333 23.345833)
46467032,81T900,9.5,34.0,47.0,105.0,196.0,307.0,2025-09-23 23:50:00,179.0,卓溪國小,23.345833,121.30333,179.0,POINT (121.30333 23.345833)
46111541,466990,0.0,0.5,0.5,0.5,0.5,0.5,2025-09-21 23:50:00,16.1,花蓮,23.975128,121.61327,16.1,POINT (121.61327 23.975128)
46111669,81T910,0.5,2.0,2.0,2.0,2.5,2.5,2025-09-21 23:50:00,173.0,東里國中,23.263332,121.303055,173.0,POINT (121.303055 23.263332)
46290075,466990,0.5,1.5,8.5,24.5,65.0,108.5,2025-09-22 23:50:00,16.1,花蓮,23.975128,121.61327,16.1,POINT (121.61327 23.975128)
46290203,81T910,0.0,5.0,24.5,33.0,57.5,65.5,2025-09-22 23:50:00,173.0,東里國中,23.263332,121.303055,173.0,POINT (121.303055 23.263332)
46466906,466990,0.0,1.5,23.0,32.5,86.0,172.0,2025-09-23 23:50:00,16.1,花蓮,23.975128,121.61327,16.1,POINT (121.61327 23.975128)
46467033,81T910,0.0,20.5,32.0,76.0,160.0,279.5,2025-09-23 23:50:00,173.0,東里國中,23.263332,121.303055,173.0,POINT (121.303055 23.263332)
46111670,81T990,1.5,2.0,2.0,2.0,2.0,2.0,2025-09-21 23:50:00,20.0,高山部落,23.691944,121.549446,20.0,POINT (121.549446 23.691944)
46290204,81T990,0.0,0.0,5.0,15.5,25.0,50.0,2025-09-22 23:50:00,20.0,高山部落,23.691944,121.549446,20.0,POINT (121.549446 23.691944)
46467034,81T990,0.5,8.0,35.5,43.0,94.5,184.5,2025-09-23 23:50:00,20.0,高山部落,23.691944,121.549446,20.0,POINT (121.549446 23.691944)
46111671,81T9J0,1.0,1.0,1.0,1.0,1.0,1.0,2025-09-21 23:50:00,304.0,鳳義坑,23.740881,121.42608,304.0,POINT (121.42608 23.740881)
46290205,81T9J0,0.0,0.0,8.5,34.0,47.5,91.0,2025-09-22 23:50:00,304.0,鳳義坑,23.740881,121.42608,304.0,POINT (121.42608 23.740881)
46467035,81T9J0,0.0,3.5,60.0,93.5,166.5,299.0,2025-09-23 23:50:00,304.0,鳳義坑,23.740881,121.42608,304.0,POINT (121.42608 23.740881)
46111706,A0Z080,0.0,0.0,0.5,0.5,0.5,0.5,2025-09-21 23:50:00,3171.0,合歡山,24.144464,121.2764,3171.0,POINT (121.2764 24.144464)
46290240,A0Z080,0.5,1.0,6.0,10.0,14.5,15.0,2025-09-22 23:50:00,3171.0,合歡山,24.144464,121.2764,3171.0,POINT (121.2764 24.144464)
46467067,A0Z080,0.0,0.5,11.5,23.5,57.0,69.0,2025-09-23 23:50:00,3171.0,合歡山,24.144464,121.2764,3171.0,POINT (121.2764 24.144464)
46111697,88T830,0.0,5.0,11.5,11.5,12.5,12.5,2025-09-21 23:50:00,21.0,和中,24.270832,121.7418,21.0,POINT (121.7418 24.270832)
46290231,88T830,0.0,29.0,38.0,61.0,75.0,108.0,2025-09-22 23:50:00,21.0,和中,24.270832,121.7418,21.0,POINT (121.7418 24.270832)
46467058,88T830,0.0,0.5,1.0,14.0,39.5,182.5,2025-09-23 23:50:00,21.0,和中,24.270832,121.7418,21.0,POINT (121.7418 24.270832)
46111698,88T920,0.0,0.5,0.5,0.5,2.5,2.5,2025-09-21 23:50:00,128.0,大興,23.631945,121.39778,128.0,POINT (121.39778 23.631945)
46290232,88T920,0.0,0.0,11.5,41.0,64.0,94.5,2025-09-22 23:50:00,128.0,大興,23.631945,121.39778,128.0,POINT (121.39778 23.631945)
46467059,88T920,6.5,9.0,46.0,114.5,155.0,331.0,2025-09-23 23:50:00,128.0,大興,23.631945,121.39778,128.0,POINT (121.39778 23.631945)
46112103,C0T9D0,0.0,6.0,13.5,13.5,16.0,16.0,2025-09-21 23:50:00,7.0,和中,24.266762,121.74103,7.0,POINT (121.74103 24.266762)
46290639,C0T9D0,1.0,15.5,38.5,62.0,80.5,125.5,2025-09-22 23:50:00,7.0,和中,24.266762,121.74103,7.0,POINT (121.74103 24.266762)
46467463,C0T9D0,0.0,0.0,0.0,14.5,44.5,188.0,2025-09-23 23:50:00,7.0,和中,24.266762,121.74103,7.0,POINT (121.74103 24.266762)
46112104,C0T9E0,0.5,4.0,4.0,4.0,4.0,4.0,2025-09-21 23:50:00,415.0,大坑,23.880629,121.58198,415.0,POINT (121.58198 23.880629)
