STID,Stationnam,latitude,longtitude,rain_sum
C1Z140,荖溪,23.890575,121.45964,8.5
A0Z080,合歡山,24.144464,121.2764,84.5
C0T9M0,靜浦,23.455168,121.495026,135.5
81T880,石梯坪,23.483055,121.51139,168.5
C0T9A0,月眉山,23.809929,121.539825,200
C0T9F0,水璉,23.79713,121.54251,209
01T730,豐濱,23.602442,121.52049,215
C0T9H0,加路蘭山,23.682947,121.5274,219.5
81T870,東興部落,23.635204,121.53089,221.5
C0Z230,和平,24.307169,121.770065,223
81T990,高山部落,23.691944,121.549446,236.5
C0T9I0,豐濱,23.583897,121.51481,262
C0Z270,蕃薯寮,23.73835,121.54011,268.5
466990,花蓮,23.975128,121.61327,281
C0T9E0,大坑,23.880629,121.58198,296.5
88T830,和中,24.270832,121.7418,303
O1T840,花蓮,23.972935,121.60599,305
81T850,溪口國小,23.819721,121.473335,305.5
C0Z150,吉安光華,23.930925,121.59515,305.5
O1T800,奇美國小,23.496927,121.44593,309
C0Z180,新城,24.039461,121.60454,309.5
01T500,北埔,24.037079,121.60446,319
C1Z120,壽豐,23.870853,121.50808,325
C0T9D0,和中,24.266762,121.74103,329.5
01T9L0,東富,23.684835,121.482086,335
C1T920,中興,23.769503,121.49865,337.5
81T770,大豐,23.607222,121.376114,339.5
81T860,山興分校,23.727777,121.4975,342
81T910,東里國中,23.263332,121.303055,347.5
C0Z160,鳳林,23.746115,121.45341,364
C1Z240,中平林道,23.421146,121.26763,368.5
C0Z100,東華,23.89525,121.549835,369.5
C0Z070,舞鶴,23.468115,121.37407,380
C1T970,大農,23.615232,121.41333,386
C1TA00,太魯閣,24.157728,121.6236,386.5
81T9J0,鳳義坑,23.740881,121.42608,391
01T9J0,六十石山,23.217558,121.32297,397
C0Z300,東里,23.268528,121.305466,398
C0Z080,富源,23.587643,121.37823,398.5
C0Z310,清水斷崖,24.218294,121.68914,400.5
C0Z200,萬榮,23.709219,121.420105,404
C0Z280,德武,23.474264,121.41071,404
C0T9G0,鳳林山,23.73527,121.42013,408.5
C0Z190,富世,24.147432,121.6297,414.5
72T250,花蓮農改,23.975222,121.56389,419
O1T810,卓清國小,23.278427,121.27198,423
C1Z110,三棧,24.115568,121.605,425.5
88T920,大興,23.631945,121.39778,428
81T900,卓溪國小,23.345833,121.30333,437
C0T960,光復,23.660694,121.424965,446
81T760,富南部落,23.133057,121.246666,451
C0Z330,安通山,23.290728,121.348526,452.5
C0T900,西林,23.8119,121.44146,459.5
C0Z061,玉里,23.3215,121.33965,460
C1T950,太安,23.66672,121.370125,461.5
C0Z220,和平林道,24.343922,121.65632,469
C0Z170,卓溪,23.344332,121.30286,476
O1T820,太平國小,23.405748,121.32013,476
C0T9B0,水源,23.991861,121.53717,479.5
C1S850,豐南,23.122139,121.26239,483
81T890,瑞北國小,23.525557,121.376114,486.5
C0T870,鯉魚潭,23.935638,121.50894,490.5
01T220,卓麓(4),23.295555,121.266945,493
C0Z290,赤柯山,23.368929,121.382935,493
C0Z210,瑞穗,23.5239,121.39021,497.5
01T230,立山,23.430079,121.31263,509
C1T990,高寮,23.39424,121.35681,517
C0Z020,明里,23.208717,121.262344,528.5
01T560,西林,23.819214,121.43207,534
C1Z130,銅門,23.965694,121.49284,540
01T240,苗圃,23.417015,121.27937,558
C0T9N0,富里,23.171638,121.249374,558.5
C1Z030,紅葉,23.493118,121.338806,559
C1T810,慈恩,24.192043,121.38839,574.5
C0Z320,清水林道,23.27125,121.18827,575.5
C0Z050,佳心,23.345667,121.213165,581.5
01T720,明里,23.202324,121.25167,616
C1T940,大觀,23.714207,121.37313,616
C1Z040,立山,23.443356,121.32738,629
C1T830,布洛灣,24.171843,121.571266,630.5
C0Z250,瑞穗林道,23.492842,121.306885,674
C1T800,洛韶,24.204557,121.45396,747
C0T820,天祥,24.179598,121.495636,870
