school_name,school_risk_level,longitude,latitude,Max_elevation,Slope_risk_level,rain_1hr,sigma_1hr,village_A65UP_CNT,fusion_class,fusion_label,debris_stream_level
長良國小,Low,121.2863,23.2845,252.33,Low,19.844,0.3083,138.0,,,Low
花蓮縣玉里鎮源城國民小學,Low,121.2995,23.3217,246.24,Low,21.363,0.3099,292.0,,,Medium
中城國小,Low,121.3171,23.3248,136.76,Low,24.7164,0.309,1273.0,,,Low
玉里國小,Low,121.3191,23.3286,130.52,Low,25.6282,0.3094,1273.0,,,Low
國立玉里高級中學,Low,121.3198,23.3458,141.76,Low,28.2714,0.3107,371.0,,,Low
春日國小,Low,121.3926,23.4522,95.75,Low,29.3924,0.3255,215.0,0.0,無淹水,Safe
德武國小,Low,121.4053,23.4662,166.59,Low,20.9594,0.3226,210.0,0.0,無淹水,Safe
花蓮縣立玉里國民中學,Medium,121.3113,23.3361,151.93,Low,24.7426,0.3104,443.0,,,High
大禹國小,Medium,121.3288,23.38,106.84,Low,37.5393,0.3102,271.0,,,Medium
樂合國小,Medium,121.3397,23.3208,191.79,Low,29.4959,0.3146,301.0,,,Low
三民國小,Medium,121.3483,23.4301,146.08,Low,47.8661,0.3124,241.0,0.0,無淹水,Safe
三民國中,Medium,121.3497,23.4328,139.07,Low,47.6965,0.3127,241.0,0.0,無淹水,Safe
觀音國小,Medium,121.3569,23.3944,199.53,Low,48.0532,0.3167,423.0,,,Medium
高寮國小,Medium,121.3598,23.3828,159.83,Low,47.5998,0.3183,423.0,,,Medium
玉東國中,Medium,121.3711,23.4172,122.23,Low,46.1817,0.324,342.0,0.0,無淹水,High
松浦國小,Medium,121.3731,23.4291,138.85,Low,43.4776,0.3235,342.0,0.0,無淹水,Low
