school_name,amenity,縣市,鄉鎮市區,縣市及鄉鎮市區,村里,longitude,latitude,geometry
花蓮高農畜產保健科,school,花蓮縣,吉安鄉,花蓮縣吉安鄉,仁和村,121.58591889431227,23.9564859,"POLYGON ((121.5845184 23.9561463, 121.5865677 23.9553473, 121.5866374 23.9553816, 121.5873317 23.9568255, 121.5875432 23.9572469, 121.5875236 23.9572758, 121.5874931 23.9572917, 121.5874294 23.9573208, 121.5872946 23.9573864, 121.5870244 23.9574789, 121.5867756 23.9575911, 121.5866368 23.9576481, 121.5865076 23.9576815, 121.5864832 23.957685, 121.5864714 23.957684, 121.5864585 23.9576784, 121.5862699 23.9576526, 121.5860862 23.9575753, 121.5857496 23.957443, 121.5850656 23.9571954, 121.5849369 23.9570876, 121.5845184 23.9561463))"
光華國小,school,花蓮縣,吉安鄉,花蓮縣吉安鄉,光華村,121.5782930821431,23.9358423,"POLYGON ((121.5795253 23.9357751, 121.5789589 23.934944, 121.5767236 23.935321, 121.5777072 23.9367647, 121.5782696 23.9364197, 121.5794895 23.9359095, 121.5795253 23.9357751))"
北昌國小,school,花蓮縣,吉安鄉,花蓮縣吉安鄉,北昌村,121.5916896474833,23.9870727,"POLYGON ((121.5925038 23.9875137, 121.5918575 23.9866753, 121.5905734 23.9874701, 121.5911388 23.9882415, 121.5925038 23.9875137))"
上騰工商,school,花蓮縣,吉安鄉,花蓮縣吉安鄉,吉安村,121.55783274805759,23.9725551,"POLYGON ((121.5569896 23.9736105, 121.5592005 23.972361, 121.5586688 23.9715505, 121.556449 23.9727492, 121.5569896 23.9736105))"
吉安國小,school,花蓮縣,吉安鄉,花蓮縣吉安鄉,吉安村,121.56254689158968,23.97374025,"POLYGON ((121.5616165 23.9734735, 121.5621605 23.9742853, 121.5627024 23.9750942, 121.5632055 23.9748228, 121.563147 23.9747411, 121.5634023 23.9745971, 121.5632141 23.9742522, 121.5635191 23.9740864, 121.5634685 23.974007, 121.5630124 23.9732912, 121.5627293 23.9728469, 121.5616165 23.9734735))"
太昌國小,school,花蓮縣,吉安鄉,花蓮縣吉安鄉,太昌村,121.56529825617889,23.994401449999998,"POLYGON ((121.5652807 23.9959626, 121.5663081 23.9956255, 121.5658083 23.9946739, 121.5661079 23.9945491, 121.5656157 23.9936911, 121.5651565 23.9928192, 121.5644161 23.9932077, 121.5645765 23.9934431, 121.5644077 23.9934742, 121.5645047 23.9936503, 121.5644502 23.9936583, 121.5646237 23.993942, 121.5646534 23.9940464, 121.564653 23.9941302, 121.5646116 23.9942538, 121.564473 23.9947883, 121.5652807 23.9959626))"
宜昌國中,school,花蓮縣,吉安鄉,花蓮縣吉安鄉,宜昌村,121.58749481962684,23.972011350000002,"POLYGON ((121.5879935 23.9730087, 121.5884641 23.9725936, 121.5889074 23.9721438, 121.5885192 23.9718789, 121.5869976 23.9708408, 121.5869709 23.9708871, 121.5868841 23.9709855, 121.5869057 23.9710017, 121.5860848 23.9718131, 121.5865586 23.9723035, 121.586725 23.9724872, 121.587014 23.9727747, 121.5871364 23.9729503, 121.5873099 23.9728617, 121.5873748 23.9728456, 121.5879935 23.9730087))"
宜昌國小,school,花蓮縣,吉安鄉,花蓮縣吉安鄉,宜昌村,121.58573782748476,23.970678,"POLYGON ((121.5860848 23.9718131, 121.5869057 23.9710017, 121.5868841 23.9709855, 121.5869709 23.9708871, 121.5855803 23.9698902, 121.5845594 23.9704154, 121.5845591 23.9704689, 121.5860848 23.9718131))"
花蓮特殊教育學校,school,花蓮縣,吉安鄉,花蓮縣吉安鄉,宜昌村,121.58448416657691,23.97144725,"POLYGON ((121.584376 23.9726044, 121.5855864 23.9718933, 121.5857998 23.9717626, 121.5843914 23.9705351, 121.5832999 23.9711319, 121.584376 23.9726044))"
南華國小,school,花蓮縣,吉安鄉,花蓮縣吉安鄉,干城村,121.5474426735913,23.9477914,"POLYGON ((121.5467255 23.9471399, 121.5475058 23.9490323, 121.5479083 23.9489479, 121.5480264 23.9489136, 121.547962 23.9484429, 121.5477689 23.9466657, 121.5477228 23.9466829, 121.5467255 23.9471399))"
吉安國中,school,花蓮縣,吉安鄉,花蓮縣吉安鄉,慶豐村,121.56193564575811,23.983287750000002,"POLYGON ((121.5610757 23.9840194, 121.5612421 23.9842338, 121.5630695 23.9832101, 121.5625633 23.9823779, 121.5608019 23.9833654, 121.5611717 23.9839433, 121.5610757 23.9840194))"
化仁國中,school,花蓮縣,吉安鄉,花蓮縣吉安鄉,東昌村,121.59349390447528,23.96591805,"POLYGON ((121.593579 23.9668841, 121.5944949 23.9661373, 121.5935054 23.9650272, 121.5924862 23.9656988, 121.593579 23.9668841))"
化仁國小,school,花蓮縣,吉安鄉,花蓮縣吉安鄉,東昌村,121.59600762181705,23.9625342,"POLYGON ((121.5958339 23.9634782, 121.5968269 23.9628785, 121.5964418 23.9622716, 121.5962921 23.961617, 121.596157 23.9612874, 121.5953317 23.961819, 121.5953458 23.9622475, 121.5954627 23.9627968, 121.5956242 23.9631526, 121.5958339 23.9634782))"
上騰中學第二校區,school,花蓮縣,吉安鄉,花蓮縣吉安鄉,福興村,121.55542201284311,23.9717329,"POLYGON ((121.5550708 23.9723056, 121.5549462 23.9721342, 121.5552405 23.9715601, 121.555259 23.9714548, 121.5552518 23.971403, 121.5552214 23.971318, 121.5552792 23.971061, 121.5557983 23.9719057, 121.5550708 23.9723056))"
稻香國小,school,花蓮縣,吉安鄉,花蓮縣吉安鄉,稻香村,121.56884288744381,23.96292125,"POLYGON ((121.5680004 23.9628289, 121.5685337 23.9636492, 121.5691847 23.963296, 121.5696853 23.9630136, 121.5691576 23.9622009, 121.5680004 23.9628289))"
