school_name,amenity,縣市,鄉鎮市區,縣市及鄉鎮市區,村里,longitude,latitude,geometry
三民國中,school,花蓮縣,玉里鎮,花蓮縣玉里鎮,三民里,121.34966002829401,23.4328333,"POLYGON ((121.3492281 23.4337263, 121.3504774 23.4330216, 121.3499819 23.4320767, 121.3489166 23.432593, 121.3488565 23.4326904, 121.3490263 23.4329762, 121.3488105 23.4330963, 121.3492281 23.4337263))"
三民國小,school,花蓮縣,玉里鎮,花蓮縣玉里鎮,三民里,121.34826167527952,23.4300828,"POLYGON ((121.3481309 23.4310375, 121.3484353 23.430677, 121.3490016 23.4303653, 121.3483787 23.4292742, 121.3478513 23.4294268, 121.3479433 23.4295827, 121.3475505 23.4298003, 121.3481309 23.4310375))"
中城國小,school,花蓮縣,玉里鎮,花蓮縣玉里鎮,中城里,121.31708091219316,23.32480845,"POLYGON ((121.3162556 23.3252069, 121.3160016 23.324432, 121.3183597 23.3238628, 121.3179083 23.3251849, 121.3162556 23.3252069))"
玉里國小,school,花蓮縣,玉里鎮,花蓮縣玉里鎮,中城里,121.31909633420129,23.3285629,"POLYGON ((121.3183101 23.3289354, 121.3186427 23.3281904, 121.3189417 23.3275706, 121.3199634 23.3279445, 121.3195306 23.3290275, 121.3192663 23.3296144, 121.3183101 23.3289354))"
大禹國小,school,花蓮縣,玉里鎮,花蓮縣玉里鎮,大禹里,121.32882797480507,23.379953,"POLYGON ((121.3296129 23.3800731, 121.3295863 23.3794568, 121.3279591 23.3796657, 121.3279894 23.3798329, 121.3282094 23.380282, 121.3296129 23.3800731))"
德武國小,school,花蓮縣,玉里鎮,花蓮縣玉里鎮,德武里,121.40532874904127,23.4662098,"POLYGON ((121.4046398 23.4665494, 121.4054578 23.4666207, 121.4058602 23.4665617, 121.4059433 23.4660819, 121.405769 23.4658432, 121.404849 23.4658408, 121.4048007 23.4661852, 121.404672 23.4662344, 121.4046398 23.4665494))"
春日國小,school,花蓮縣,玉里鎮,花蓮縣玉里鎮,春日里,121.39263362391637,23.4521509,"POLYGON ((121.3926501 23.4513487, 121.3917623 23.4518876, 121.3920439 23.4522321, 121.3921083 23.4525815, 121.3923094 23.4527513, 121.39276 23.4528497, 121.3932482 23.4530539, 121.3936934 23.4528128, 121.3932402 23.4520697, 121.3926501 23.4513487))"
松浦國小,school,花蓮縣,玉里鎮,花蓮縣玉里鎮,松浦里,121.37305034447917,23.42911805,"POLYGON ((121.3729898 23.4280206, 121.3722259 23.4290133, 121.3730622 23.4296321, 121.3728872 23.4298041, 121.373153 23.4300805, 121.3734068 23.4300849, 121.373803 23.4297316, 121.3735082 23.4294313, 121.373789 23.4290404, 121.3739308 23.4291957, 121.3741279 23.4290362, 121.3739784 23.4288959, 121.3740935 23.4287761, 121.3729898 23.4280206))"
玉東國中,school,花蓮縣,玉里鎮,花蓮縣玉里鎮,松浦里,121.371146420094,23.41718015,"POLYGON ((121.3701154 23.4167544, 121.3709361 23.4179407, 121.3716871 23.4175124, 121.3720787 23.4168479, 121.3710058 23.4161292, 121.3701154 23.4167544))"
樂合國小,school,花蓮縣,玉里鎮,花蓮縣玉里鎮,樂合里,121.33967121686624,23.32080775,"POLYGON ((121.3390894 23.3213986, 121.3392986 23.3215238, 121.3394658 23.3215674, 121.339651 23.3215616, 121.3397463 23.3215346, 121.3398849 23.3214, 121.3401925 23.320932, 121.3399176 23.3203608, 121.3397628 23.3202787, 121.3395738 23.3203256, 121.3392487 23.3206835, 121.3390513 23.3213129, 121.3390894 23.3213986))"
國立玉里高級中學,school,花蓮縣,玉里鎮,花蓮縣玉里鎮,永昌里,121.31983518062233,23.3458386,"POLYGON ((121.3193765 23.347731, 121.3215647 23.3461778, 121.3213024 23.3454994, 121.321214 23.3452287, 121.3209102 23.3444154, 121.3207111 23.3444782, 121.3204588 23.3445481, 121.3195156 23.3448184, 121.3192877 23.3448907, 121.3188356 23.345009, 121.3180571 23.345286, 121.3186523 23.3471162, 121.3189586 23.3470295, 121.3193765 23.347731))"
