school_name,amenity,縣市,鄉鎮市區,縣市及鄉鎮市區,村里,longitude,latitude,geometry,debrisstream_level,Avg_slope,Max_elevation,Slope_risk_level,rain_1hr,sigma_1hr,rain_1hr_rf,village_A65UP_CNT,fusion_class,fusion_label,debris_stream_level,risk_rain,risk_collapse,risk_debris_stream,risk_max_elevation,risk_slope_level,risk_uncertainty,risk_elderly,hazard_score,vulnerability_multiplier,school_risk_score,school_risk_level
花蓮高農畜產保健科,school,花蓮縣,吉安鄉,花蓮縣吉安鄉,仁和村,121.58591889431229,23.9564859,POINT (309633.0542956851 2650327.8858319083),Safe,1.0525213736678605,26.31999969482422,Low,5.4905503238590505,0.3125197503769547,7.051666666666667,1022.0,9,SAR無資料,Safe,0.2324944419279281,1.0,0.0,0.1700478246520237,0.33,0.17414749826285453,0.7414539831078769,0.3456702561024674,0.9224361949323631,31.885875574045546,Medium
光華國小,school,花蓮縣,吉安鄉,花蓮縣吉安鄉,光華村,121.5782930821431,23.9358423,POINT (308866.270524599 2648038.4015776254),Safe,1.1209399514747098,36.349998474121094,Low,6.551428712472934,0.31518029493617533,7.888333333333334,425.0,0,無淹水,Safe,0.4334460709612457,0.0,0.0,0.33547746209439466,0.33,0.4595070623657038,0.1988712764743281,0.25930614683910325,0.7596613829422983,19.698486611323183,Low
北昌國小,school,花蓮縣,吉安鄉,花蓮縣吉安鄉,北昌村,121.5916896474833,23.9870727,POINT (310206.1846664255 2653717.846852912),Safe,0.8965535941344501,21.25,Low,4.263148833755727,0.310896089433745,6.155,1532.0,9,SAR無資料,Safe,0.0,1.0,0.0,0.08642585920583262,0.33,0.0,0.9919720526225047,0.2459638788808749,0.9975916157867513,24.537150335794877,Low
上騰工商,school,花蓮縣,吉安鄉,花蓮縣吉安鄉,吉安村,121.5578327480576,23.9725551,POINT (306767.4308207791 2652095.9669603696),Medium,1.015463787393897,46.689998626708984,Low,7.781061056054943,0.31632810128039224,6.61,1236.0,9,SAR無資料,Medium,0.6663630812490234,1.0,0.67,0.5060201026306469,0.33,0.5826162645495476,0.8590987910402803,0.6675735662242589,0.957729637312084,63.935498945909394,High
吉安國小,school,花蓮縣,吉安鄉,花蓮縣吉安鄉,吉安村,121.56254689158968,23.97374025,POINT (307246.64882283565 2652229.128555926),Low,1.168044149526519,42.5099983215332,Low,7.1773900439476055,0.31556515735257407,6.713333333333333,1236.0,9,SAR無資料,Low,0.5520156927216165,1.0,0.33,0.4370773290361415,0.33,0.500785894175716,0.8590987910402803,0.5637448965894778,0.957729637312084,53.99151953471789,High
太昌國小,school,花蓮縣,吉安鄉,花蓮縣吉安鄉,太昌村,121.56529825617888,23.99440145,POINT (307517.4657237125 2654518.4875349062),Safe,1.4681785048735416,62.400001525878906,Low,6.591125464491126,0.32021957073210355,9.115,843.0,9,SAR無資料,Safe,0.4409654313997312,1.0,0.0,0.7651328045377218,0.33,1.0,0.6223272842170063,0.5800595501005776,0.8866981852651019,51.43377504198736,High
宜昌國中,school,花蓮縣,吉安鄉,花蓮縣吉安鄉,宜昌村,121.58749481962684,23.97201135,POINT (309786.28971326695 2652048.0049785245),Safe,1.5057329017661145,21.770000457763672,Low,4.88922641862777,0.31102361653569044,6.423333333333333,994.0,9,SAR無資料,Safe,0.118591642483795,1.0,0.0,0.09500247911283341,0.33,0.013678056282245655,0.7242658343232284,0.28419567024028813,0.9172797502969685,26.068693343349107,Medium
宜昌國小,school,花蓮縣,吉安鄉,花蓮縣吉安鄉,宜昌村,121.58573782748476,23.970678,POINT (309608.0989150155 2651899.591813029),Safe,0.9728289766131331,24.649999618530273,Low,5.0539676820541946,0.31117095239769205,6.895,994.0,9,SAR無資料,Safe,0.14979693953749518,1.0,0.0,0.14250370293983677,0.33,0.02948072239876879,0.7242658343232284,0.30226270954210094,0.9172797502969685,27.725946273286343,Medium
花蓮特殊教育學校,school,花蓮縣,吉安鄉,花蓮縣吉安鄉,宜昌村,121.58448416657691,23.97144725,POINT (309480.1629763952 2651984.257379217),Safe,0.951793591895608,24.389999389648438,Low,5.1255574642788675,0.3112280716529997,6.915,994.0,9,SAR無資料,Safe,0.16335747910036155,1.0,0.0,0.1382153929863364,0.33,0.03560710947241633,0.7242658343232284,0.3063002636253006,0.9172797502969685,28.09630293341114,Medium
南華國小,school,花蓮縣,吉安鄉,花蓮縣吉安鄉,干城村,121.5474426735913,23.9477914,POINT (305720.71278275084 2649349.243864628),Low,1.4037877317165397,76.63999938964844,Low,9.542421232378533,0.31677343663330365,6.653333333333333,308.0,9,SAR無資料,Low,1.0,1.0,0.33,1.0,0.33,0.6303811861126786,0.0,0.7955381186112679,0.7,55.68766830278875,High
