school_name,amenity,縣市,鄉鎮市區,縣市及鄉鎮市區,村里,longitude,latitude,geometry,debrisstream_level,Avg_slope,Max_elevation,Slope_risk_level,rain_1hr,sigma_1hr,rain_1hr_rf,village_A65UP_CNT,fusion_class,fusion_label,debris_stream_level,risk_rain,risk_collapse,risk_debris_stream,risk_max_elevation,risk_slope_level,risk_uncertainty,risk_elderly,hazard_score,vulnerability_multiplier,school_risk_score,school_risk_level
三民國中,school,花蓮縣,玉里鎮,花蓮縣玉里鎮,三民里,121.349660028294,23.4328333,POINT (285729.29407296213 2592256.6976337205),Safe,7.891557558814518,139.07000732421875,Low,47.696511670146215,0.3127014827629078,47.72833333333333,241.0,0.0,無淹水,Safe,0.9873550030826714,0.0,0.0,0.27666372983543447,0.33,0.25534743031369117,0.25027221070550904,0.264637552969085,0.7750816632116526,20.51157147035402,Low
三民國小,school,花蓮縣,玉里鎮,花蓮縣玉里鎮,三民里,121.34826167527952,23.4300828,POINT (285587.14124189323 2591951.760031248),Safe,5.905326534927191,146.0800018310547,Low,47.86614349754816,0.31240015292710777,47.495,241.0,0.0,無淹水,Safe,0.9933683559457328,0.0,0.0,0.32143314115783006,0.33,0.23776326848905302,0.25027221070550904,0.27049655141443973,0.7750816632116526,20.965691696332026,Low
中城國小,school,花蓮縣,玉里鎮,花蓮縣玉里鎮,中城里,121.31708091219316,23.32480845,POINT (282426.5091313357 2580286.3841051254),Low,1.2698719898879967,136.75999450683594,Low,24.71640760166696,0.3089502397053189,28.546666666666667,1273.0,,,Low,0.1727232402224937,0.0,0.33,0.26191080615188994,0.33,0.036442904005971784,1.0,0.1678393973567547,1.0,16.78393973567547,Low
玉里國小,school,花蓮縣,玉里鎮,花蓮縣玉里鎮,中城里,121.31909633420128,23.3285629,POINT (282631.70230500476 2580702.600129541),Low,0.9463969969834727,130.52000427246094,Low,25.628225618691626,0.3093545900182862,28.24,1273.0,,,Low,0.2050466760260476,0.0,0.33,0.22205903605734256,0.33,0.060038846034686795,1.0,0.1690697414159772,1.0,16.90697414159772,Low
大禹國小,school,花蓮縣,玉里鎮,花蓮縣玉里鎮,大禹里,121.32882797480508,23.379953,POINT (283613.94772282836 2586395.7257080846),Medium,1.0477636460721749,106.83999633789062,Low,37.53932821235805,0.31019583508825754,49.66166666666667,271.0,,,Medium,0.6272885629457979,0.0,0.67,0.07082639039598691,0.33,0.10912986752374598,0.30302208748228654,0.26563022975364237,0.7909066262446859,21.008870884305406,Low
德武國小,school,花蓮縣,玉里鎮,花蓮縣玉里鎮,德武里,121.40532874904127,23.4662098,POINT (291407.3437239722 2595967.7547559217),Safe,7.839715880697477,166.58999633789062,Low,20.95940831683912,0.322621243150194,23.605,210.0,0.0,無淹水,Safe,0.03953972889706972,0.0,0.0,0.45242045925076013,0.33,0.8342169984351046,0.1883976336198578,0.20671572806568494,0.7565192900859573,15.638443584585376,Low
春日國小,school,花蓮縣,玉里鎮,花蓮縣玉里鎮,春日里,121.39263362391635,23.4521509,POINT (290114.67553526256 2594407.2591221244),Safe,3.0379714544598193,95.75,Low,29.392408183068582,0.32546217268315564,34.056666666666665,215.0,0.0,無淹水,Safe,0.33848483057087464,0.0,0.0,0.0,0.33,1.0,0.19896900703524556,0.2002727245856312,0.7596907021105737,15.21453267540557,Low
松浦國小,school,花蓮縣,玉里鎮,花蓮縣玉里鎮,松浦里,121.37305034447915,23.42911805,POINT (288120.47338825295 2591851.2631948055),Low,4.602561880480266,138.85000610351562,Low,43.47757112546157,0.3235113513845967,47.67,342.0,0.0,無淹水,Low,0.8377959339384659,0.0,0.33,0.27525868948462073,0.33,0.8861594394934964,0.40770922726626924,0.35457413746281263,0.8223127681798807,29.157084050203903,Medium
玉東國中,school,花蓮縣,玉里鎮,花蓮縣玉里鎮,松浦里,121.371146420094,23.41718015,POINT (287929.32158723497 2590528.751897161),High,4.52237559566517,122.2300033569336,Low,46.18172158004184,0.3240417265859706,48.07333333333333,342.0,0.0,無淹水,High,0.9336565464617776,0.0,1.0,0.1691148489415957,0.33,0.917109588667977,0.40770922726626924,0.4566266681773037,0.8223127681798807,37.54899395336345,Medium
樂合國小,school,花蓮縣,玉里鎮,花蓮縣玉里鎮,樂合里,121.33967121686624,23.32080775,POINT (284737.7809459708 2579848.5938699436),Low,7.629792003849891,191.7899932861328,Low,29.49591461239178,0.31462401955714386,30.838333333333335,301.0,,,Low,0.34215407526775027,0.0,0.33,0.6133605323990046,0.33,0.3675374430082825,0.35024738538417743,0.27908093545084145,0.8050742156152532,22.468086520125727,Low
