縣市及鄉鎮市區,Low,Medium,High,Very High,total_shelters,Low_ratio_pct,Medium_ratio_pct,High_ratio_pct,Very High_ratio_pct,high_or_very_high_count,high_or_very_high_ratio_pct
花蓮縣吉安鄉,1,0,16,5,22,4.545454545454546,0.0,72.72727272727273,22.727272727272727,21,95.45454545454545
花蓮縣花蓮市,0,4,22,2,28,0.0,14.285714285714285,78.57142857142857,7.142857142857142,24,85.71428571428571
花蓮縣新城鄉,0,3,16,0,19,0.0,15.789473684210526,84.21052631578947,0.0,16,84.21052631578947
花蓮縣卓溪鄉,0,2,8,2,12,0.0,16.666666666666664,66.66666666666666,16.666666666666664,10,83.33333333333334
花蓮縣玉里鎮,0,3,5,4,12,0.0,25.0,41.66666666666667,33.33333333333333,9,75.0
花蓮縣秀林鄉,0,3,0,7,10,0.0,30.0,0.0,70.0,7,70.0
花蓮縣萬榮鄉,4,3,1,2,10,40.0,30.0,10.0,20.0,3,30.0
花蓮縣瑞穗鄉,4,8,3,1,16,25.0,50.0,18.75,6.25,4,25.0
花蓮縣光復鄉,7,4,3,0,14,50.0,28.57142857142857,21.428571428571427,0.0,3,21.428571428571427
花蓮縣富里鄉,0,10,1,1,12,0.0,83.33333333333334,8.333333333333332,8.333333333333332,2,16.666666666666664
花蓮縣豐濱鄉,3,3,1,0,7,42.857142857142854,42.857142857142854,14.285714285714285,0.0,1,14.285714285714285
花蓮縣鳳林鎮,13,1,1,1,16,81.25,6.25,6.25,6.25,2,12.5
花蓮縣壽豐鄉,14,5,0,1,20,70.0,25.0,0.0,5.0,1,5.0
