縣市及鄉鎮市區,Low,Medium,High,Very High,total_shelters,Low_ratio_pct,Medium_ratio_pct,High_ratio_pct,Very High_ratio_pct,high_or_very_high_count,high_or_very_high_ratio_pct
花蓮縣卓溪鄉,0,2,3,7,12,0.0,16.666666666666664,25.0,58.333333333333336,10,83.33333333333334
花蓮縣玉里鎮,0,2,3,7,12,0.0,16.666666666666664,25.0,58.333333333333336,10,83.33333333333334
花蓮縣秀林鄉,2,0,4,4,10,20.0,0.0,40.0,40.0,8,80.0
花蓮縣豐濱鄉,2,1,3,1,7,28.57142857142857,14.285714285714285,42.857142857142854,14.285714285714285,4,57.14285714285714
花蓮縣萬榮鄉,1,4,2,3,10,10.0,40.0,20.0,30.0,5,50.0
花蓮縣光復鄉,7,2,2,3,14,50.0,14.285714285714285,14.285714285714285,21.428571428571427,5,35.714285714285715
花蓮縣瑞穗鄉,3,8,4,1,16,18.75,50.0,25.0,6.25,5,31.25
花蓮縣壽豐鄉,10,4,4,2,20,50.0,20.0,20.0,10.0,6,30.0
花蓮縣富里鄉,0,9,2,1,12,0.0,75.0,16.666666666666664,8.333333333333332,3,25.0
花蓮縣鳳林鎮,11,3,0,2,16,68.75,18.75,0.0,12.5,2,12.5
花蓮縣花蓮市,26,2,0,0,28,92.85714285714286,7.142857142857142,0.0,0.0,0,0.0
花蓮縣吉安鄉,17,5,0,0,22,77.27272727272727,22.727272727272727,0.0,0.0,0,0.0
花蓮縣新城鄉,16,3,0,0,19,84.21052631578947,15.789473684210526,0.0,0.0,0,0.0
