序號,縣市及鄉鎮市區,村里,避難收容處所地址,經度,緯度,避難收容處所名稱,預計收容村里,預計收容人數,適用災害類別,管理人姓名,管理人電話,室內,室外,適合避難弱者安置,is_indoor,geometry,debrisstream_level,Avg_slope,Max_elevation,Slope_risk_level,rain_1hr,sigma_1hr,rain_1hr_rf,village_A65UP_CNT,fusion_class,fusion_label,flood_confidence,debris_stream_level,risk_rain,risk_collapse,risk_debris_stream,risk_max_elevation,risk_slope_level,risk_uncertainty,risk_elderly,hazard_score,vulnerability_multiplier,risk_raw,shelter_risk_score,shelter_risk_level
46,花蓮縣秀林鄉,和平村,和平112號,121.748879,24.308073,和平國小,和中部落,250,"水災,土石流",蔡金郎,03-868113,是,否,否,True,POINT (326011.1106515807 2689346.507721314),Safe,1.550992060814815,26.299999237060547,Low,2.6599599710547315,0.1312095609068077,2.905,247.0,9,SAR無資料,mid,Safe,0.035989581104715763,1.0,0.0,0.012983031479192027,0.33,0.10069469054375883,0.5470083199473742,0.2558137981076694,0.8641024959842122,0.22104934145203847,48.2240887443845,Medium
1306,花蓮縣富里鄉,豐南村,豐南7鄰12-3號,121.2686,23.143,豐南社區活動中心,豐南村,50,"水災,震災,土石流,海嘯",黃瓊瑤,03-8831820,是,否,是,True,POINT (277505.7788830008 2560143.4173844056),High,5.911457185588702,311.9700012207031,Low,25.08053482919045,0.1097800852664708,23.706666666666667,177.0,0,無淹水,low,High,0.5109288936700767,0.0,1.0,0.2214632358181232,0.33,0.042524945970461206,0.46520215757997363,0.3737506480707876,0.839560647273992,0.31378633601338446,77.93672640399123,Very High
1332,花蓮縣富里鄉,富南村,富南村4鄰42-1號,121.2399,23.1612,玉寶宮,富南村,20,"水災,土石流",鄧仲量,03-8831822,是,否,是,True,POINT (274563.44670140836 2562153.6820209557),Safe,3.2684152989670703,248.0500030517578,Low,27.263645005477983,0.1127612172429297,26.725,148.0,0,無淹水,low,Safe,0.5571741328283495,0.0,0.0,0.1748148156582463,0.33,0.05061714983584603,0.4213354510302224,0.23143617718082637,0.8264006353090667,0.19125900385573663,38.679359470559,Medium
1342,花蓮縣富里鄉,永豐村,永豐10鄰20-1號,121.2565,23.1714,永豐社區活動中心,永豐村,50,"水災,土石流",黃瓊瑤,03-8831821,是,否,是,True,POINT (276261.14500775794 2563286.0855803615),Low,8.039099878329363,315.70001220703125,Low,26.6923461981873,0.1004469787038097,26.551666666666662,124.0,0,無淹水,low,Low,0.5450722012534064,0.0,0.33,0.22418537481492506,0.33,0.017190475172517337,0.3780125667966385,0.28136851411551245,0.8134037700389916,0.22886621015182704,50.72858857649733,High
1350,花蓮縣富里鄉,富里村,中山路205號,121.247624,23.174527,富里老人文康中心,富里村,100,"水災,土石流",古智雄,03-8831048,是,否,是,True,POINT (275351.8038631432 2563630.784185125),Safe,4.229494044960926,264.3999938964844,Low,27.387960112148978,0.1033095452961262,26.906666666666663,379.0,0,無淹水,low,Safe,0.5598075234384206,0.0,0.0,0.18674693806724682,0.33,0.024960836440045205,0.6522719185605313,0.23145038138561772,0.8956815755681593,0.20730584226532145,43.820715382528434,Medium
1353,花蓮縣卓溪鄉,古風村,23鄰16-1號,121.2359,23.1784,石平社區活動中心,古風村石平社區,50,"水災,土石流",林章成,03-8881852,是,否,是,True,POINT (274150.79817006085 2564057.6717823483),Safe,10.943724090014609,363.2099914550781,Low,27.84387556413135,0.1118257842774086,26.918333333333333,143.0,0,無淹水,low,Safe,0.5694652673955903,0.0,0.0,0.2588578644462947,0.33,0.048077941803738075,0.4129159403727619,0.2474760540659951,0.8238747821118285,0.2038892801215168,42.72605975452828,Medium
1355,花蓮縣富里鄉,富里村,中山路376號,121.2503,23.1795,富里鄉公所2樓,富里村,100,"水災,土石流",陳伯昇,03-8831111,是,否,是,True,POINT (275624.8277478156 2564181.943547989),Safe,8.842716775269578,311.5299987792969,Low,27.387960112148978,0.1033095452961262,26.371666666666663,379.0,0,無淹水,low,Safe,0.5598075234384206,0.0,0.0,0.2211421247520083,0.33,0.024960836440045205,0.6522719185605313,0.23660965938833192,0.8956815755681593,0.21192691251558665,45.3012915710838,Medium
1379,花蓮縣富里鄉,石牌村,8鄰富北34-2號,121.2643,23.1928,石牌社區活動中心,石牌村,30,"水災,土石流",王貞予,03-8831323,是,否,是,True,POINT (277055.4301601831 2565657.270666278),Safe,4.836707084137049,234.9499969482422,Low,25.549289291857303,0.1006364488995495,24.86,235.0,0,無淹水,low,Safe,0.5208586088388273,0.0,0.0,0.16525451205500494,0.33,0.017704787005219904,0.5347743558487993,0.21581623816042092,0.8604323067546398,0.1856952636354797,36.896754826332376,Medium
1386,花蓮縣富里鄉,明里村,3鄰明里37號,121.2522,23.1998,明里社區活動中心,明里村,50,"水災,土石流",徐祥寶,03-8846057,是,否,是,True,POINT (275815.4475165397 2566430.226969136),Safe,3.074848928023149,250.22999572753903,Low,26.10157122633624,0.100656784851151,27.195,105.0,0,無淹水,low,Safe,0.5325577023707005,0.0,0.0,0.17640576085847165,0.33,0.01775998840772588,0.3373433154432834,0.2210041736807535,0.8012029946329849,0.17706920577940802,34.13299336608022,Medium
1389,花蓮縣富里鄉,羅山村,9鄰東湖39號,121.2776,23.2021,羅山縱管處,羅山村,50,"水災,土石流",徐祥寶,03-8821330,是,否,是,True,POINT (278414.94458397356 2566689.6567299357),Safe,4.788546317657566,259.2300109863281,Low,24.20734196220186,0.1017797941148626,22.211666666666662,117.0,0,無淹水,low,Safe,0.49243188266083165,0.0,0.0,0.18297391644770739,0.33,0.020808367337753868,0.3637973252660182,0.21025648899918098,0.8091391975798055,0.1701267667947445,31.908658029347038,Medium
1422,花蓮縣卓溪鄉,古風村,崙天18號,121.2645,23.2192,古風國小,古風村崙天,100,"水災,土石流",黃印龍,03-8846058,是,否,是,True,POINT (277070.5856394184 2568580.755240187),High,2.6407636665310834,237.3500061035156,Low,24.170965148419747,0.0993242098219258,23.781666666666663,143.0,0,無淹水,low,High,0.4916613056778456,0.0,1.0,0.1670060239240578,0.33,0.014142748752599838,0.4129159403727619,0.3569635701672223,0.8238747821118285,0.29409328359338066,71.62713513747518,High
1426,花蓮縣卓溪鄉,古風村,1鄰20號,121.2649,23.2202,崙天社區活動中心,古風村崙天社區,50,"水災,土石流",林章成,03-8881852,是,否,是,True,POINT (277111.3224925851 2568691.566643595),High,3.337324822139719,242.6199951171875,Low,24.170965148419747,0.0993242098219258,22.695,143.0,0,無淹水,low,High,0.4916613056778456,0.0,1.0,0.17085202938072158,0.33,0.014142748752599838,0.4129159403727619,0.3575404709857219,0.8238747821118285,0.29456857762952215,71.77941783268699,High
1434,花蓮縣富里鄉,竹田村,1鄰東竹10號,121.2899,23.2261,新興竹田聯合社區活動中心,新興村,80,"水災,土石流",陳韋睿,03-8821423,是,否,是,True,POINT (279668.670933396 2569349.7993646013),Low,6.901517636607498,275.3099975585937,Low,21.870966565640337,0.0984556250645097,21.44833333333333,311.0,0,無淹水,low,Low,0.44293999711558213,0.0,0.33,0.19470899140508827,0.33,0.011784998412500504,0.6036369226899658,0.2457668476866879,0.8810910768069897,0.2165429764717233,46.78026375894709,Medium
1474,花蓮縣富里鄉,萬寧村,7鄰鎮寧100號,121.2982,23.251,萬寧社區活動中心,萬寧村,50,"水災,土石流",彭家玲,03-8861120,是,否,是,True,POINT (280512.4445744172 2572108.8778766426),Safe,3.96992377392258,200.8300018310547,Low,20.49277304720132,0.0962699082917331,21.0,191.0,0,無淹水,low,Safe,0.41374546100885323,0.0,0.0,0.14035395020153496,0.33,0.0058519280697682035,0.4838778195799617,0.17876192363986304,0.8451633458739884,0.15108302549833708,25.80710397856165,Medium
1487,花蓮縣富里鄉,東里村,1鄰福安路6-1號,121.3052,23.2673,東里社區活動中心,東里村,50,"水災,土石流",廖維正,03-8861165,是,否,是,True,POINT (281224.9069130923 2573915.390625604),Safe,1.913432745978382,170.4499969482422,Low,20.072793771994355,0.0947985136719506,22.28,277.0,0,無淹水,low,Safe,0.404848959936932,0.0,0.0,0.11818281013850118,0.33,0.001857866309425144,0.5751758902157574,0.17236789613279727,0.8725527670647272,0.15040008472379773,25.588291929790376,Medium
