避難收容處所名稱,縣市及鄉鎮市區,村里,避難收容處所地址,預計收容人數,室內,室外,經度,緯度,mean_elevation,max_slope,std_elevation,fusion_class,fusion_label,flood_confidence
和平國小,花蓮縣秀林鄉,和平村,和平112號,250,是,否,121.748879,24.308073,27.502351140126624,45.47325134277344,17.994240499848075,9,無淹水(SAR無資料),low
豐南社區活動中心,花蓮縣富里鄉,豐南村,豐南7鄰12-3號,50,是,否,121.2686,23.143,299.4591485256446,41.04636764526367,13.2606333820716,0,無淹水,low
玉寶宮,花蓮縣富里鄉,富南村,富南村4鄰42-1號,20,是,否,121.2399,23.1612,240.63090767245217,29.891891479492188,7.8382103154261635,0,無淹水,low
永豐社區活動中心,花蓮縣富里鄉,永豐村,永豐10鄰20-1號,50,是,否,121.2565,23.1714,257.4568151540308,32.28624725341797,22.75303856265916,0,無淹水,low
富里老人文康中心,花蓮縣富里鄉,富里村,中山路205號,100,是,否,121.247624,23.174527,238.32434659181175,30.52633285522461,18.28400531387887,0,無淹水,low
石平社區活動中心,花蓮縣卓溪鄉,古風村,23鄰16-1號,50,是,否,121.2359,23.1784,265.358108598518,49.29889297485352,54.84778679452026,0,無淹水,low
富里鄉公所2樓,花蓮縣富里鄉,富里村,中山路376號,100,是,否,121.2503,23.1795,246.17891436468932,32.616477966308594,28.573259310084183,0,無淹水,low
石牌社區活動中心,花蓮縣富里鄉,石牌村,8鄰富北34-2號,30,是,否,121.2643,23.1928,217.7405811119274,27.66690826416016,12.674413449210224,0,無淹水,low
明里社區活動中心,花蓮縣富里鄉,明里村,3鄰明里37號,50,是,否,121.2522,23.1998,222.76228475692255,45.12797546386719,21.376596869510504,0,無淹水,low
羅山縱管處,花蓮縣富里鄉,羅山村,9鄰東湖39號,50,是,否,121.2776,23.2021,222.57304280443412,30.42821502685547,11.16499422700819,0,無淹水,low
古風國小,花蓮縣卓溪鄉,古風村,崙天18號,100,是,否,121.2645,23.2192,211.24118607565916,43.36570739746094,14.611808171023034,0,無淹水,low
崙天社區活動中心,花蓮縣卓溪鄉,古風村,1鄰20號,50,是,否,121.2649,23.2202,211.36301327527053,46.451934814453125,18.545785133950982,0,無淹水,low
新興竹田聯合社區活動中心,花蓮縣富里鄉,竹田村,1鄰東竹10號,80,是,否,121.2899,23.2261,238.52522567369684,26.0961971282959,26.826757524535072,0,無淹水,low
萬寧社區活動中心,花蓮縣富里鄉,萬寧村,7鄰鎮寧100號,50,是,否,121.2982,23.251,185.01412708389245,20.5401668548584,6.923329462643441,0,無淹水,low
東里社區活動中心,花蓮縣富里鄉,東里村,1鄰福安路6-1號,50,是,否,121.3052,23.2673,163.92257891858148,20.561498641967773,5.132992919596025,0,無淹水,low
長良社區活動中心,花蓮縣玉里鎮,長良里,長良143-1號,20,是,否,121.2878,23.2768,168.9406016503956,41.99833297729492,8.33335985328903,0,無淹水,low
清水社區活動中心,花蓮縣卓溪鄉,卓清村,1鄰13號,50,是,否,121.2725,23.2775,253.13394585648868,53.45540237426758,68.69474064432717,0,無淹水,low
吳江社區活動中心,花蓮縣富里鄉,吳江村,6鄰吳江65-3號,70,是,否,121.3227,23.2787,168.5402246747698,44.65826416015625,28.647064611991738,0,無淹水,low
卓樂社區活動中心,花蓮縣卓溪鄉,卓清村,12鄰18號,50,是,否,121.2703,23.2956,231.1481612130497,57.18361282348633,60.50859907225679,0,無淹水,low
樂合社區活動中心,花蓮縣玉里鎮,樂合里,樂合65-5號,35,是,否,121.345,23.3183,188.47014778764228,62.64292526245117,52.27014564782927,0,無淹水,low
源城社區活動中心,花蓮縣玉里鎮,源城里,水源57-1號,35,是,否,121.3004,23.3219,175.61787498149883,42.56365585327149,22.879446676154465,0,無淹水,low
玉里慈惠堂,花蓮縣玉里鎮,中城里,信義路5號,40,是,否,121.3139,23.3275,134.1840439192924,7.027657985687256,3.707416434852125,0,無淹水,low
中正堂,花蓮縣玉里鎮,泰昌里,中正路144號,100,是,否,121.3153,23.3352,131.78364103123704,8.887100219726562,3.590794777569742,0,無淹水,low
東豐社區活動中心,花蓮縣玉里鎮,東豐里,東豐石岡32之1號,25,是,否,121.3399,23.3389,138.44852984566174,31.459415435791016,27.0391905969148,0,無淹水,low
卓溪多功能活動中心,花蓮縣卓溪鄉,卓溪村,7鄰73號,50,是,否,121.3038,23.3457,190.65612060796124,46.31100082397461,35.439304320465894,0,無淹水,low
大禹社區活動中心,花蓮縣玉里鎮,大禹里,大禹226號,40,是,否,121.3289,23.3805,103.74068338490456,34.2635612487793,3.4345776567264905,0,無淹水,low
觀音社區活動中心,花蓮縣玉里鎮,觀音里,觀音9-1號,0,是,否,121.3573,23.3951,109.42267363089827,52.9278564453125,24.46503530684205,0,無淹水,low
太平國小,花蓮縣卓溪鄉,太平村,1鄰2號,100,是,否,121.3205,23.406,170.18213559849667,49.49265670776367,58.80471492470148,0,無淹水,low
太平社區活動中心,花蓮縣卓溪鄉,太平村,6鄰79-1號,50,是,否,121.3166,23.4071,129.67033176704473,50.25275802612305,19.68646008086045,0,無淹水,low
